title,CODE,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
High Injection Pressure during Intraneural Sciatic Nerve Block Injection in Dogs Predicits Neurologi,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
The Relationship between Clonidine-Induced Sonsory Hypersensitivity and Antinociceptive Tolerance,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Change in ASIC2 Expression in Dorsal Root Ganglia in a Neuropathic Pain Model,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
In Vitro Inhibition of Recombinant Ligand-Gated Ion Channels by High Concentrations of Milnacipran,LOCAL ANESTHESIA AND PAIN,10.0,17.0,18.0,15.0,27.0,15.0,35.0
Change in Expression of VR1 in Dorsal Root Ganglion Neurons in a Murine Model of Bone Cancer Pain,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,24.0,18.0,25.0
Intrathecal Gabapentin Reduces Opioid Induced Hyperalgesia and Opioid Tolerance in the Rat,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Dexamethasone Restores the Antinociceptive Effect of Morphine and Associated Increase in Intrathecal,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
NMDA Receptors Contribute to Pentobarbital Induced Nociceptive Reflex Enhancement,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Nitrous Oxide Inhalation Reverses Hyperalgesia Consecutive to Acute Administration of Opioid in the ,LOCAL ANESTHESIA AND PAIN,12.0,4.0,18.0,12.0,24.0,18.0,25.0
The Physiologic Response to Painful Electrical Nerve Stimulation Used for FMRI,LOCAL ANESTHESIA AND PAIN,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Chronic Constriction Injury of the Sciatic Nerve Causes Localized Apoptosis of Perineural Cells,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
The Antinociceptive Effects of Spinal Cyclooxygenase Inhibitors on Uterine Cervical Distension,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Propofol-Induced Activation of Vanilloid Receptor: Role of Protein Kinase C,LOCAL ANESTHESIA AND PAIN,10.0,17.0,17.0,24.0,24.0,8.0,3.0
Nerve Injury-Induced Sympathetic Fiber Sprouting Is Mediated by Abnormal Spontaneous Activity of the,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
The Effect of Caffeine on Thermal and Vibratory Perception Using Quantitative Sensory Testing,LOCAL ANESTHESIA AND PAIN,1.0,20.0,13.0,12.0,15.0,18.0,25.0
Effects of R-PIA Injection into ICV and IT on Anesthesia and Antinociception in Rats,LOCAL ANESTHESIA AND PAIN,1.0,17.0,18.0,12.0,24.0,18.0,25.0
Clonidine Prolongation of Lidocaine Analgesia after Sciatic Nerve Block in Rats Is Not Mediated Via ,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
The Effect of Respiratory Alkalosis on the Recovery of Heart Rate from Bupivacaine or Levobupivacain,LOCAL ANESTHESIA AND PAIN,12.0,4.0,18.0,10.0,24.0,20.0,31.0
Effect of Toxic Concentrations of Lidocaine and Bupivacaine on pp125FAK Phosphorylation in the Rat H,LOCAL ANESTHESIA AND PAIN,10.0,17.0,18.0,15.0,24.0,6.0,31.0
Effects of Bupivacaine and Lidocaine on Growth of Tumor Cells,LOCAL ANESTHESIA AND PAIN,10.0,17.0,17.0,19.0,24.0,30.0,11.0
Sex-Related Differences in Mu Agonist Analgesia and NMDA Receptor Mediated Mechanisms in Rats,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,24.0,18.0,25.0
Addition of Fentanyl Alters the Baricity of Hyperbaric Spinal Bupivacaine,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,29.0,19.0,27.0,4.0
Effect of Pregnancy on Myocardial Depression Induced by Bupivacaine and Ropivacaine in Isolated Rat ,LOCAL ANESTHESIA AND PAIN,11.0,5.0,21.0,16.0,24.0,27.0,4.0
Pharmacokinetic Study of Ropivacaine after Spinal Administration in Sheep Model,LOCAL ANESTHESIA AND PAIN,14.0,4.0,18.0,19.0,24.0,27.0,14.0
Functional Magnetic Resonance Imaging of Pain by Differential Nerve Stimulation,LOCAL ANESTHESIA AND PAIN,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Neurotoxic Change by Intrathecal Lidocaine When Administered at Cauda Equina Region Commences at the,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
A New Approach of the Brachial Plexus (BP) for Regional Anesthesia of the Shoulder: Preliminary Eval,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Comparative Neurotoxicity of Intrathecal Bupivacaine; Levobupivacaine; and Dextrobupivacaine in Rats,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Comparative Somatic and Visceral Antinociception of Intrathecal Bupivacaine; Levobupivacaine; and De,LOCAL ANESTHESIA AND PAIN,1.0,20.0,13.0,12.0,15.0,27.0,4.0
Comparative Neurotoxicity of Intrathecal Lidocaine and Bupivacaine in Rats,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Effect of Propofol on Activation of Astrocytes and Expression of iNOS in the Spinal Cord of Rats wit,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
The Antinociceptive Effect of Intrathecal T-Type Calcium Channel Blocker Mibefradil in the Rat Forma,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Cultured Cells of Neural Crest Origin as a Model for Dissecting Pain Pathways,LOCAL ANESTHESIA AND PAIN,10.0,17.0,17.0,12.0,29.0,30.0,11.0
Determination of the Antinociceptive Dose-Response of the Opioid Myfadol in Mice,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Clonidine Prolongation of Lidocaine Analgesia after Sciatic Nerve Block in Rats: Role of Hyperpolari,LOCAL ANESTHESIA AND PAIN,1.0,15.0,20.0,6.0,24.0,27.0,4.0
Differential Morphine Tolerance Development and RGS Protein Expression in Different Age Groups of Ra,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,24.0,18.0,25.0
Effect of Perturbing NMDA Receptor-PSD-95 Protein Interactions on the Threshold for Halothane Anesth,LOCAL ANESTHESIA AND PAIN,10.0,17.0,18.0,19.0,24.0,6.0,31.0
Endothelin-1 Enhances the Response of VR1 to Capsaicin Via Activation of PKC in Dorsal Root Ganglion,LOCAL ANESTHESIA AND PAIN,10.0,17.0,17.0,12.0,24.0,18.0,25.0
Norepinephrine Transporter Modulates Morphine-Mediated Analgesic Effects on Carrageenan-Induced Hype,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Relationship of Cauda Equina Histopathology to Pain in an Animal Model of Arachnoiditis,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Cellular Effect of Amiodarone on Trigeminal Horn Cells. Does It Have a Role in Decreasing Neuropathi,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,6.0,25.0
Expression of GABA and Its Receptors in the Rat Spinal Dorsal Horn Following Peripheral Inflammatory,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Combination of Intraneural Injection and High Injection Pressure Leads to Severe Fascicular Injury a,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Variations in Transcriptional Regulation of the Human µ-Opioid Receptor Gene,LOCAL ANESTHESIA AND PAIN,10.0,17.0,17.0,19.0,24.0,6.0,11.0
Neuronal p38 Mitogen Activated Protein Kinase in a Cell Culture Model of Transient Neurologic Syndro,LOCAL ANESTHESIA AND PAIN,10.0,15.0,17.0,12.0,24.0,18.0,31.0
Long Term Effects of Bupivacaine and Ropivacaine on Skeletal Muscle Tissue after Continuous Peripher,LOCAL ANESTHESIA AND PAIN,0.0,14.0,26.0,14.0,24.0,34.0,34.0
Lymphatic Drainage of the Porcine Spinal Epidural Space,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,31.0
Attenuation of the Cardiotoxic Effects of Bupivacaine in Anesthetized Rat by Nanoparticles,LOCAL ANESTHESIA AND PAIN,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Ketamine Suppressed Over-Expression of iNOS mRNA in Spinal Cord of Morphine Tolerance in Mice,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,29.0,18.0,25.0
The Role of Astrocytic Gap Junction Protein Connexin 43 in Rat Spinal Dorsal Horn with Neuropathic P,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Synergistic and Additive Interactions of Gabapentin and Hydrocodone,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Spinal Orexin-1 Receptors Mediate Anti-Hyperalgesic Effects of Intrathecally Administered Orexins in,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Functional Magnetic Resonance Imaging of Pain Transmission in the Human Spinal Cord,LOCAL ANESTHESIA AND PAIN,12.0,15.0,18.0,19.0,24.0,6.0,31.0
Nicotinic Receptors Modulate the Release of [3H]-Noradrenaline from Rat Spinal Cord,LOCAL ANESTHESIA AND PAIN,1.0,15.0,18.0,15.0,24.0,6.0,35.0
Upregulation of Cyclooxygenase-2 Expression by Nitric Oxide Facilitates the Production of Prostaglan,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
CB2 Cannabinoid Receptor Agonists May Produce Peripheral Antinociception by Stimulating Local Releas,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,24.0,18.0,25.0
An Additional Mechanism of Action of COX-2 Selective Cyclooxygenase Inhibitors: Interference with G ,LOCAL ANESTHESIA AND PAIN,10.0,17.0,18.0,15.0,27.0,15.0,35.0
Correlation of Allodynia with Intercostal Nerve Injury in a Persistent Post-Thoracotomy Pain Model,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Decreased Expression of Sodium Channel Isoform Nav1.7 after Infection with a Recombinant Herpes Viru,LOCAL ANESTHESIA AND PAIN,1.0,15.0,17.0,12.0,15.0,18.0,25.0
Spinal 2-Chloroprocaine: Dose Response and the 'No Effect' Dose,LOCAL ANESTHESIA AND PAIN,14.0,20.0,19.0,27.0,30.0,27.0,4.0
Neurologic Findings Following Orthopedic Surgery under Regional Anesthesia in an Ambulatory Setting,LOCAL ANESTHESIA AND PAIN,17.0,8.0,20.0,6.0,2.0,25.0,28.0
Considerable Mobility of the Cauda Equina in the Subarachnoid Space by Changing Position,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Epidural Injection Markedly Compresses the Subarachnoid Space,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,27.0,31.0
Evaluation of Postoperative Pain and Bowel Function in Patients Undergoing Radical Prostatectomy: A ,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Effects of Continuous Epidural Anesthesia and Analgesia on Immune Response in Patients Undergoin,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,23.0,15.0
Local Anesthetic Infiltration Increases Subcutaneous Tissue Oxygenation after Lower Abdominal Surger,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Intrathecal Magnesium Sulfate Prolong Morphine Spinal Analgesia for Caesarean Section,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Neurologic Sequelae Following Interscalene Block (ISB) for Shoulder and Proximal Arm Surgery,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Evaluation of a Selective Obturator Nerve Block Following a Parasacral Sciatic Nerve Block,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Psoas Compartment Block: Any Difference in Thirty Years?,LOCAL ANESTHESIA AND PAIN,14.0,20.0,20.0,6.0,30.0,19.0,28.0
The Influence of Diabetes Mellitus on the Success Rate of Posterior Popliteal Sciatic Nerve Blockade,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Continuous Interscalene Perineural Infusion with Clonidine and Ropivacaine Compared with Ropivacaine,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Anatomic Relationship of the Sciatic Nerve to the Pelvis as Evaluated by Computed Tomography,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Post-Operative Pain Relief after Minimally Invasive Unicompartmental Knee Replacement Surgery,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
An Investigation of the Association between Severity of Early Postoperative Pain and Chronic Post-Su,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Why Don't Surgical Patients Receive Adequate Post-Operative Analgesia?,LOCAL ANESTHESIA AND PAIN,5.0,4.0,18.0,19.0,24.0,6.0,31.0
CSF and Plasma Valdecoxib Levels Following Intravenous Parecoxib – Human Pharmacokinetic Study,LOCAL ANESTHESIA AND PAIN,3.0,20.0,18.0,27.0,24.0,19.0,10.0
Comparative Absorption and Central Nervous System Penetration of the COX-2 Inhibitors Celecoxib; Rof,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,12.0,24.0,18.0,25.0
Management of Lower Limb Complex Regional Pain Syndrome (crps) Type 1: Evaluation of Percutaneous Ra,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Pregabalin Dosed BID Efficaciously and Safely Treats Neuropathic Pain and Sleep Interference in Post,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Increasing Patterns of Oxycodone Misuse: Findings from a National Database,LOCAL ANESTHESIA AND PAIN,3.0,4.0,18.0,19.0,24.0,6.0,31.0
Perioperative; Single-Injection; Sustained-Release Epidural Morphine Provides 48-Hour Pain Relief Fo,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
A Novel Sustained-Release Formulation of Epidural Morphine for Controlling Pain after Elective Knee ,LOCAL ANESTHESIA AND PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Acute Opioid Tolerance in Humans: No Evidence in Models of Acute Experimental Pain,LOCAL ANESTHESIA AND PAIN,6.0,7.0,4.0,27.0,20.0,19.0,10.0
The Ascending and Deep Cervical Arteries Are Vulnerable to Injury during Cervical Transforaminal Epi,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Cost Description and Break-Even Analysis of an Acute Pain Service,LOCAL ANESTHESIA AND PAIN,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Magnetic Resonance Imaging Confirms the Accurate Localization of the Sciatic Nerve in the Popliteal ,LOCAL ANESTHESIA AND PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Ketamine and Temporal Summation,LOCAL ANESTHESIA AND PAIN,6.0,20.0,4.0,27.0,20.0,19.0,10.0
Decreased Local Anesthetic Efficacy in Subjects with Naturally Red Hair,LOCAL ANESTHESIA AND PAIN,1.0,15.0,13.0,19.0,15.0,18.0,31.0
The Potency and Efficacy of Non-Steroidal Neuromuscular Blocking Agents Is Not Reduced When Administ,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
The Preliminary Cardiovascular Profile of AV430A in Humans,NEUROMUSCULAR TRANSMISSION,6.0,7.0,18.0,10.0,20.0,23.0,15.0
Preliminary Pharmacokinetic Profile of AV430A in Humans,NEUROMUSCULAR TRANSMISSION,6.0,4.0,4.0,10.0,20.0,23.0,15.0
A Rat Study Comparing Neuromuscular Blocking bis Tropines with Alkane and Alkene Dicarboxylic Acid L,NEUROMUSCULAR TRANSMISSION,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Epibatidine: Its Molecular Conformations for Nicotinic Actions,NEUROMUSCULAR TRANSMISSION,12.0,17.0,18.0,19.0,24.0,6.0,31.0
Clonidine Enhances the Neuromuscular Blocking Effect of Rocuronium,NEUROMUSCULAR TRANSMISSION,16.0,4.0,18.0,19.0,24.0,2.0,19.0
Onset of Action of Rocuronium Is More Rapid at Airway Dilator Muscles Compared to the Adductor Polli,NEUROMUSCULAR TRANSMISSION,16.0,11.0,23.0,26.0,17.0,2.0,19.0
The Effects of Midazolam Pre-Medication on Muscle Relaxation,NEUROMUSCULAR TRANSMISSION,6.0,11.0,18.0,10.0,17.0,2.0,19.0
Effect of Mixing Bicarbonate on Injection Pain and Onset of Rocuronium,NEUROMUSCULAR TRANSMISSION,3.0,20.0,18.0,10.0,17.0,2.0,19.0
Intraosseous Bolus Administration of Succinylcholine Does Not Result in Delayed Onset of Action or R,NEUROMUSCULAR TRANSMISSION,6.0,4.0,18.0,19.0,24.0,6.0,31.0
A Study on Rocuronium Inhibit Evoked Release of Acetylcholine from the Mouse Hemidiaphragm Preparati,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
Simulations of the Twitch and Twitch Fade in Response to TOF Stimulation in a Model of Neuromuscular,NEUROMUSCULAR TRANSMISSION,12.0,4.0,18.0,15.0,24.0,2.0,19.0
Priming Principle: Simulation in a Pharmacokinetic-Pharmacodynamic (PK-PD) Model,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
Chronic Administration of Pyridostigmine Down-Regulates Acetylcholine Receptors and May Impair Muscl,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
Inhibition of Sarcoplasmic Calcium ATPase Induces a Left-Shift of Halothane- and Caffeine-Induced Co,NEUROMUSCULAR TRANSMISSION,10.0,4.0,18.0,19.0,24.0,6.0,31.0
Observations on Acetylcholine Receptor Current Expressed by mRNA of Aged Rat Muscle in Xenopus Lavei,NEUROMUSCULAR TRANSMISSION,10.0,17.0,18.0,15.0,27.0,15.0,35.0
Systemic Inflammation Increases Immobilization-Induced Neuromuscular Weakness,NEUROMUSCULAR TRANSMISSION,16.0,4.0,18.0,12.0,15.0,18.0,31.0
Pharmacodynamics of Succinylcholine in Inflammation and Immobilization in the Rat,NEUROMUSCULAR TRANSMISSION,1.0,11.0,13.0,12.0,15.0,18.0,25.0
Critical Malnutrition Attenuates the Effect of Rocuronium,NEUROMUSCULAR TRANSMISSION,16.0,4.0,18.0,26.0,24.0,2.0,19.0
Low-Dose Dantrolene Improves Muscle Function in Walking MHS Person,NEUROMUSCULAR TRANSMISSION,16.0,4.0,18.0,19.0,24.0,6.0,31.0
Cisatracurium Pharmacodynamics in Patients with Oculopharyngeal Muscular Dystrophy,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,10.0,17.0,2.0,19.0
Acceleromyography vs. Electromyography. An Ipsilateral Comparison,NEUROMUSCULAR TRANSMISSION,16.0,11.0,23.0,26.0,17.0,2.0,19.0
The Effect of an Elastic Pre-Load on the Evoked Acceleromyographic Response of the Thumb,NEUROMUSCULAR TRANSMISSION,16.0,11.0,23.0,26.0,17.0,2.0,19.0
The Staircase Phenomenon at the Corrugator Supercilii Muscle as Monitored Using Phonomyography,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
The Relationship between Twitch Depression and the Train of Four Ratio during the Onset and Spontane,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
Onset and Offset of Neuromuscular Block Is Faster at the Vastus Medialis Muscle Than the Addcutor Po,NEUROMUSCULAR TRANSMISSION,16.0,11.0,23.0,26.0,17.0,2.0,19.0
Tactile Assessment for the Reversibility of Rocuronium-Induced Neuromuscular Blockade during Propofo,NEUROMUSCULAR TRANSMISSION,6.0,7.0,18.0,10.0,17.0,2.0,19.0
Clinical Validation of a Novel Approach for Automatic Control of Neuromuscular Block Using Mivacuriu,NEUROMUSCULAR TRANSMISSION,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Comparison of Pharmacodynamics of Rocuronium Administered by Target-Controlled Infusion Versus Conti,NEUROMUSCULAR TRANSMISSION,6.0,7.0,4.0,10.0,20.0,23.0,15.0
Mivacurium in Children with Duchenne’s Muscular Dystrophie: A Comparison of Onset and Duration of Ne,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
Chronic Pyridostigmine-Therapy Accentuates the Downregulation of Acetylcholine Receptors in Experime,NEUROMUSCULAR TRANSMISSION,16.0,4.0,18.0,26.0,17.0,2.0,31.0
Succinylcholine’s Mode of Action in Malignant Hyperthermia?,NEUROMUSCULAR TRANSMISSION,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Effect of Succinylcholine Dosage on Apnea and Hemoglobin Desaturation in Healthy Patients,NEUROMUSCULAR TRANSMISSION,6.0,20.0,18.0,10.0,20.0,23.0,15.0
The Effect of Induction Drug Choice on Tracheal Intubation Conditions and Apnea Time after Small-Dos,NEUROMUSCULAR TRANSMISSION,6.0,7.0,4.0,10.0,20.0,23.0,15.0
Interpatient Variability in Recovery of Neuromuscular Function from Intermediate and Short-Acting Ne,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,26.0,17.0,2.0,19.0
A Dose-Response Study of Rocuronium. Do Acceleromyographic and Electromyographic Monitors Produce th,NEUROMUSCULAR TRANSMISSION,16.0,11.0,4.0,26.0,17.0,2.0,19.0
Reversal of AV430A with Cysteine in Rhesus Monkeys,NEUROMUSCULAR TRANSMISSION,16.0,11.0,18.0,10.0,17.0,2.0,19.0
Response to Mivacurium in Patients Carrying the K-Variant in the Butyrylcholinesterase Gene,NEUROMUSCULAR TRANSMISSION,12.0,4.0,18.0,19.0,24.0,2.0,19.0
A 3-Dimensional Magnetic Resonance Imaging Model for the Assessment of Lumbosacral Cerebrospinal Flu,OBSTETRIC ANESTHESIA,14.0,8.0,20.0,6.0,24.0,6.0,31.0
Regulation during Pregnancy of the Macromolecular Complexes Formed by Serotonin Receptors (5HT2A); C,OBSTETRIC ANESTHESIA,10.0,17.0,17.0,19.0,24.0,6.0,31.0
A Comparison of Cold and Touch Dermatomal Levels Using Ethyl Chloride Spray during Spinal Anesthesia,OBSTETRIC ANESTHESIA,14.0,20.0,14.0,29.0,30.0,27.0,4.0
Effects of Intramuscular Ephedrine during Subarachnoid Block for Cesarean Delivery,OBSTETRIC ANESTHESIA,11.0,20.0,21.0,13.0,16.0,27.0,0.0
Do Obstetric Anesthesiologists Lose Airway Management Skills? Evaluation Using a Difficult Airway Si,OBSTETRIC ANESTHESIA,13.0,6.0,12.0,5.0,4.0,28.0,29.0
Pain Tolerance in Pregnancy,OBSTETRIC ANESTHESIA,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Toe Perfusion Index as an Early Detection Device for Proper Epidural Catheter Placement in Obstetric,OBSTETRIC ANESTHESIA,14.0,8.0,5.0,19.0,24.0,6.0,31.0
Volatile Induction and Maintenance Anesthesia (VIMA) Using Sevoflurane for Transvaginal Oocyte Retri,OBSTETRIC ANESTHESIA,6.0,7.0,4.0,27.0,20.0,23.0,15.0
Extension of Labor Epidural Analgesia for Cesarean Section: Predictive Factors for the Need of Gener,OBSTETRIC ANESTHESIA,17.0,20.0,10.0,13.0,2.0,27.0,12.0
Safety of Epidural Ondansetron (Serotonin Type 3 Receptor Antagonist) in Human To Prevent Postoperat,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Epidural Morphine Is Effective for Postoperative Postpartum Tubal Ligation Analgesia,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Impact of Test Dose on Analgesia Resulting from Epidural Sufentanil or Ropivacaine Combination w,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,29.0,30.0,27.0,4.0
Postoperative Analgesia with Diclofenac after Transvaginal Oocyte Retrieval Does Not Adversely Affec,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Factors Associated with Inadequate Analgesia during Cesarean Section,OBSTETRIC ANESTHESIA,17.0,20.0,19.0,13.0,2.0,25.0,12.0
Determination of Optimal Intrathecal Morphine Dosage for Post-Cesarean Analgesia and Pruritus by the,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,0.0
Cerebrospinal Fluid S100B Protein Level Changes in Preeclampsia: A Pilot Study,OBSTETRIC ANESTHESIA,11.0,4.0,21.0,13.0,16.0,22.0,31.0
Prevention of Hypotension after Spinal Anesthesia for Cesarean Section: Voluven* (6% hydroxyethyl St,OBSTETRIC ANESTHESIA,11.0,20.0,21.0,13.0,16.0,27.0,0.0
Maternal and Fetal BNP and ANP during Cesarean Section Performed under Spinal Anesthesia,OBSTETRIC ANESTHESIA,11.0,4.0,21.0,13.0,16.0,22.0,31.0
Arrow Versus B Braun Epidural Catheter for Epidural Block in Obstetric Patients,OBSTETRIC ANESTHESIA,14.0,8.0,20.0,6.0,10.0,35.0,28.0
A Comparison of Combined Spinal-Epidural PCA Analgesia with Continuous Epidual-PCA Analgesia Alone f,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,27.0,4.0
Comparison of the Effects of Colloid and Crystalloid Solution for Volume Preloading on Maternal Hemo,OBSTETRIC ANESTHESIA,11.0,4.0,21.0,13.0,16.0,22.0,31.0
Survey of Labor IV PCA Practices among SOAP Participants,OBSTETRIC ANESTHESIA,5.0,21.0,18.0,21.0,24.0,6.0,31.0
Evidence-Based Medicine: Safety of Moderate/Heavy IV Sedation (MHIVS) vs General Endotracheal Anesth,OBSTETRIC ANESTHESIA,17.0,4.0,18.0,19.0,2.0,25.0,31.0
RCT Comparing the Effect of PCEA vs PCEA + CIEA on Labor Outcome,OBSTETRIC ANESTHESIA,11.0,20.0,19.0,13.0,30.0,27.0,0.0
Similar Reduction of the Minimum Local Analgesic Concentration (MLAC) of Ropivacaine by Clonidine 75,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,29.0,30.0,27.0,4.0
Supplemental Oxygen during Regional Anesthesia for Cesarean Delivery,OBSTETRIC ANESTHESIA,11.0,4.0,21.0,13.0,16.0,22.0,15.0
A Comparison of Spinal Hyperbaric Ropivacaine and Bupivacaine for Elective Cesarean Delivery,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,27.0,4.0
Sensory; Motor and Analgesic Spinal Block Characteristics Using Hyperbaric S- Levobupivacaine 0.5% C,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,27.0,4.0
Parturient- Controlled Epidural Labor Analgesia: A Comparison of (S)- Levobupivacaine and (S)- Ropiv,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,27.0,30.0,27.0,4.0
RCT Comparing the Efficacy of PCEA Alone vs PCEA + CIEA for Ambulatory Labor Analgesia,OBSTETRIC ANESTHESIA,3.0,20.0,19.0,13.0,30.0,27.0,0.0
Loss of Resistance to Air or Saline and Patchy Blockade in Epidural Analgesia for Labor,OBSTETRIC ANESTHESIA,14.0,22.0,14.0,29.0,30.0,27.0,0.0
